Sample_ID	Population
EPI_ISL_11867373	OMICRON_2022_AFRICA
EPI_ISL_11867398	OMICRON_2022_AFRICA
EPI_ISL_11867467	OMICRON_2022_AFRICA
EPI_ISL_11867468	OMICRON_2022_AFRICA
EPI_ISL_11919196	OMICRON_2022_AFRICA
EPI_ISL_11970935	OMICRON_2022_AFRICA
EPI_ISL_11970938	OMICRON_2022_AFRICA
EPI_ISL_12006155	OMICRON_2022_AFRICA
EPI_ISL_12028582	OMICRON_2022_AFRICA
EPI_ISL_12043095	OMICRON_2022_AFRICA
EPI_ISL_12043099	OMICRON_2022_AFRICA
EPI_ISL_12043100	OMICRON_2022_AFRICA
EPI_ISL_12064313	OMICRON_2022_AFRICA
EPI_ISL_12064383	OMICRON_2022_AFRICA
EPI_ISL_12064397	OMICRON_2022_AFRICA
EPI_ISL_12064494	OMICRON_2022_AFRICA
EPI_ISL_12064496	OMICRON_2022_AFRICA
EPI_ISL_12064519	OMICRON_2022_AFRICA
EPI_ISL_12064526	OMICRON_2022_AFRICA
EPI_ISL_12064620	OMICRON_2022_AFRICA
EPI_ISL_12064625	OMICRON_2022_AFRICA
EPI_ISL_12064756	OMICRON_2022_AFRICA
EPI_ISL_12181195	OMICRON_2022_AFRICA
EPI_ISL_12181196	OMICRON_2022_AFRICA
EPI_ISL_12181199	OMICRON_2022_AFRICA
EPI_ISL_12181203	OMICRON_2022_AFRICA
EPI_ISL_12181209	OMICRON_2022_AFRICA
EPI_ISL_12181212	OMICRON_2022_AFRICA
EPI_ISL_12181220	OMICRON_2022_AFRICA
EPI_ISL_12181221	OMICRON_2022_AFRICA
EPI_ISL_12181222	OMICRON_2022_AFRICA
EPI_ISL_12181226	OMICRON_2022_AFRICA
EPI_ISL_12181227	OMICRON_2022_AFRICA
EPI_ISL_12181246	OMICRON_2022_AFRICA
EPI_ISL_12181251	OMICRON_2022_AFRICA
EPI_ISL_12181254	OMICRON_2022_AFRICA
EPI_ISL_12181257	OMICRON_2022_AFRICA
EPI_ISL_12181259	OMICRON_2022_AFRICA
EPI_ISL_12181266	OMICRON_2022_AFRICA
EPI_ISL_12181269	OMICRON_2022_AFRICA
EPI_ISL_12181271	OMICRON_2022_AFRICA
EPI_ISL_12181273	OMICRON_2022_AFRICA
EPI_ISL_12221553	OMICRON_2022_AFRICA
EPI_ISL_12221585	OMICRON_2022_AFRICA
EPI_ISL_12274082	OMICRON_2022_AFRICA
EPI_ISL_12279574	OMICRON_2022_AFRICA
EPI_ISL_12279581	OMICRON_2022_AFRICA
EPI_ISL_12352278	OMICRON_2022_AFRICA
EPI_ISL_12416755	OMICRON_2022_AFRICA
EPI_ISL_12426920	OMICRON_2022_AFRICA
EPI_ISL_12426931	OMICRON_2022_AFRICA
EPI_ISL_12426932	OMICRON_2022_AFRICA
EPI_ISL_12426933	OMICRON_2022_AFRICA
EPI_ISL_12426934	OMICRON_2022_AFRICA
EPI_ISL_12426935	OMICRON_2022_AFRICA
EPI_ISL_12426937	OMICRON_2022_AFRICA
EPI_ISL_12426945	OMICRON_2022_AFRICA
EPI_ISL_12426946	OMICRON_2022_AFRICA
EPI_ISL_12426948	OMICRON_2022_AFRICA
EPI_ISL_12426949	OMICRON_2022_AFRICA
EPI_ISL_12426950	OMICRON_2022_AFRICA
EPI_ISL_12426951	OMICRON_2022_AFRICA
EPI_ISL_12426953	OMICRON_2022_AFRICA
EPI_ISL_12426954	OMICRON_2022_AFRICA
EPI_ISL_12426960	OMICRON_2022_AFRICA
EPI_ISL_12426961	OMICRON_2022_AFRICA
EPI_ISL_12426963	OMICRON_2022_AFRICA
EPI_ISL_12426964	OMICRON_2022_AFRICA
EPI_ISL_12426968	OMICRON_2022_AFRICA
EPI_ISL_12426970	OMICRON_2022_AFRICA
EPI_ISL_12426972	OMICRON_2022_AFRICA
EPI_ISL_12426975	OMICRON_2022_AFRICA
EPI_ISL_12426976	OMICRON_2022_AFRICA
EPI_ISL_12426979	OMICRON_2022_AFRICA
EPI_ISL_12426982	OMICRON_2022_AFRICA
EPI_ISL_12464189	OMICRON_2022_AFRICA
EPI_ISL_12585861	OMICRON_2022_AFRICA
EPI_ISL_12585862	OMICRON_2022_AFRICA
EPI_ISL_12585881	OMICRON_2022_AFRICA
EPI_ISL_12585884	OMICRON_2022_AFRICA
EPI_ISL_12585890	OMICRON_2022_AFRICA
EPI_ISL_12585895	OMICRON_2022_AFRICA
EPI_ISL_12590785	OMICRON_2022_AFRICA
EPI_ISL_12590787	OMICRON_2022_AFRICA
EPI_ISL_12590790	OMICRON_2022_AFRICA
EPI_ISL_12607682	OMICRON_2022_AFRICA
EPI_ISL_12694971	OMICRON_2022_AFRICA
EPI_ISL_12725948	OMICRON_2022_AFRICA
EPI_ISL_12725998	OMICRON_2022_AFRICA
EPI_ISL_12726001	OMICRON_2022_AFRICA
EPI_ISL_12726027	OMICRON_2022_AFRICA
EPI_ISL_12726099	OMICRON_2022_AFRICA
EPI_ISL_12726120	OMICRON_2022_AFRICA
EPI_ISL_12726135	OMICRON_2022_AFRICA
EPI_ISL_12726202	OMICRON_2022_AFRICA
EPI_ISL_12726206	OMICRON_2022_AFRICA
EPI_ISL_12726215	OMICRON_2022_AFRICA
EPI_ISL_12726391	OMICRON_2022_AFRICA
EPI_ISL_12726420	OMICRON_2022_AFRICA
EPI_ISL_12726433	OMICRON_2022_AFRICA
EPI_ISL_12726549	OMICRON_2022_AFRICA
EPI_ISL_12726553	OMICRON_2022_AFRICA
EPI_ISL_12726557	OMICRON_2022_AFRICA
EPI_ISL_12726562	OMICRON_2022_AFRICA
EPI_ISL_12731000	OMICRON_2022_AFRICA
EPI_ISL_12731245	OMICRON_2022_AFRICA
EPI_ISL_12754735	OMICRON_2022_AFRICA
EPI_ISL_12811842	OMICRON_2022_AFRICA
EPI_ISL_12811856	OMICRON_2022_AFRICA
EPI_ISL_12811862	OMICRON_2022_AFRICA
EPI_ISL_12903332	OMICRON_2022_AFRICA
EPI_ISL_12905607	OMICRON_2022_AFRICA
EPI_ISL_12905610	OMICRON_2022_AFRICA
EPI_ISL_12910714	OMICRON_2022_AFRICA
EPI_ISL_13047136	OMICRON_2022_AFRICA
EPI_ISL_13047138	OMICRON_2022_AFRICA
EPI_ISL_13047139	OMICRON_2022_AFRICA
EPI_ISL_13047157	OMICRON_2022_AFRICA
EPI_ISL_13047163	OMICRON_2022_AFRICA
EPI_ISL_13047169	OMICRON_2022_AFRICA
EPI_ISL_13047173	OMICRON_2022_AFRICA
EPI_ISL_13139918	OMICRON_2022_AFRICA
EPI_ISL_13139919	OMICRON_2022_AFRICA
EPI_ISL_13148402	OMICRON_2022_AFRICA
EPI_ISL_13331156	OMICRON_2022_AFRICA
EPI_ISL_13331159	OMICRON_2022_AFRICA
EPI_ISL_13331161	OMICRON_2022_AFRICA
EPI_ISL_13331163	OMICRON_2022_AFRICA
EPI_ISL_13331164	OMICRON_2022_AFRICA
EPI_ISL_13331165	OMICRON_2022_AFRICA
EPI_ISL_13331168	OMICRON_2022_AFRICA
EPI_ISL_13331171	OMICRON_2022_AFRICA
EPI_ISL_13331172	OMICRON_2022_AFRICA
EPI_ISL_13331173	OMICRON_2022_AFRICA
EPI_ISL_13331175	OMICRON_2022_AFRICA
EPI_ISL_13331176	OMICRON_2022_AFRICA
EPI_ISL_13331177	OMICRON_2022_AFRICA
EPI_ISL_13331180	OMICRON_2022_AFRICA
EPI_ISL_13331189	OMICRON_2022_AFRICA
EPI_ISL_13331191	OMICRON_2022_AFRICA
EPI_ISL_13331196	OMICRON_2022_AFRICA
EPI_ISL_13331200	OMICRON_2022_AFRICA
EPI_ISL_13331202	OMICRON_2022_AFRICA
EPI_ISL_13331204	OMICRON_2022_AFRICA
EPI_ISL_13331207	OMICRON_2022_AFRICA
EPI_ISL_13331213	OMICRON_2022_AFRICA
EPI_ISL_13332772	OMICRON_2022_AFRICA
EPI_ISL_13362835	OMICRON_2022_AFRICA
EPI_ISL_13436147	OMICRON_2022_AFRICA
EPI_ISL_13436149	OMICRON_2022_AFRICA
EPI_ISL_13436154	OMICRON_2022_AFRICA
EPI_ISL_13436156	OMICRON_2022_AFRICA
EPI_ISL_13436158	OMICRON_2022_AFRICA
EPI_ISL_13436164	OMICRON_2022_AFRICA
EPI_ISL_13436167	OMICRON_2022_AFRICA
EPI_ISL_13436171	OMICRON_2022_AFRICA
EPI_ISL_13436185	OMICRON_2022_AFRICA
EPI_ISL_13436186	OMICRON_2022_AFRICA
EPI_ISL_13436187	OMICRON_2022_AFRICA
EPI_ISL_13531344	OMICRON_2022_AFRICA
EPI_ISL_13531347	OMICRON_2022_AFRICA
EPI_ISL_13531352	OMICRON_2022_AFRICA
EPI_ISL_13531374	OMICRON_2022_AFRICA
EPI_ISL_13578800	OMICRON_2022_AFRICA
EPI_ISL_13580556	OMICRON_2022_AFRICA
EPI_ISL_13665199	OMICRON_2022_AFRICA
EPI_ISL_13665200	OMICRON_2022_AFRICA
EPI_ISL_13665201	OMICRON_2022_AFRICA
EPI_ISL_13665203	OMICRON_2022_AFRICA
EPI_ISL_13665205	OMICRON_2022_AFRICA
EPI_ISL_13666067	OMICRON_2022_AFRICA
EPI_ISL_13666068	OMICRON_2022_AFRICA
EPI_ISL_13666069	OMICRON_2022_AFRICA
EPI_ISL_13666070	OMICRON_2022_AFRICA
EPI_ISL_13666071	OMICRON_2022_AFRICA
EPI_ISL_13666072	OMICRON_2022_AFRICA
EPI_ISL_13666073	OMICRON_2022_AFRICA
EPI_ISL_13666074	OMICRON_2022_AFRICA
EPI_ISL_13666075	OMICRON_2022_AFRICA
EPI_ISL_13666077	OMICRON_2022_AFRICA
EPI_ISL_13666078	OMICRON_2022_AFRICA
EPI_ISL_13666079	OMICRON_2022_AFRICA
EPI_ISL_13666080	OMICRON_2022_AFRICA
EPI_ISL_13666081	OMICRON_2022_AFRICA
EPI_ISL_13666082	OMICRON_2022_AFRICA
EPI_ISL_13667907	OMICRON_2022_AFRICA
EPI_ISL_13667916	OMICRON_2022_AFRICA
EPI_ISL_13667929	OMICRON_2022_AFRICA
EPI_ISL_13667933	OMICRON_2022_AFRICA
EPI_ISL_13667938	OMICRON_2022_AFRICA
EPI_ISL_13667941	OMICRON_2022_AFRICA
EPI_ISL_13671502	OMICRON_2022_AFRICA
EPI_ISL_13671503	OMICRON_2022_AFRICA
EPI_ISL_13671504	OMICRON_2022_AFRICA
EPI_ISL_13671505	OMICRON_2022_AFRICA
EPI_ISL_13671506	OMICRON_2022_AFRICA
EPI_ISL_13671508	OMICRON_2022_AFRICA
EPI_ISL_13671509	OMICRON_2022_AFRICA
EPI_ISL_13671510	OMICRON_2022_AFRICA
EPI_ISL_13696572	OMICRON_2022_AFRICA
EPI_ISL_13696574	OMICRON_2022_AFRICA
EPI_ISL_13696576	OMICRON_2022_AFRICA
EPI_ISL_13696577	OMICRON_2022_AFRICA
EPI_ISL_13696578	OMICRON_2022_AFRICA
EPI_ISL_13696581	OMICRON_2022_AFRICA
EPI_ISL_13696590	OMICRON_2022_AFRICA
EPI_ISL_13696591	OMICRON_2022_AFRICA
EPI_ISL_13696593	OMICRON_2022_AFRICA
EPI_ISL_13696596	OMICRON_2022_AFRICA
EPI_ISL_13696597	OMICRON_2022_AFRICA
EPI_ISL_13696599	OMICRON_2022_AFRICA
EPI_ISL_13696600	OMICRON_2022_AFRICA
EPI_ISL_13696601	OMICRON_2022_AFRICA
EPI_ISL_13696603	OMICRON_2022_AFRICA
EPI_ISL_13696604	OMICRON_2022_AFRICA
EPI_ISL_13696607	OMICRON_2022_AFRICA
EPI_ISL_13696608	OMICRON_2022_AFRICA
EPI_ISL_13696609	OMICRON_2022_AFRICA
EPI_ISL_13696614	OMICRON_2022_AFRICA
EPI_ISL_13696615	OMICRON_2022_AFRICA
EPI_ISL_13696618	OMICRON_2022_AFRICA
EPI_ISL_13696619	OMICRON_2022_AFRICA
EPI_ISL_13696625	OMICRON_2022_AFRICA
EPI_ISL_13696627	OMICRON_2022_AFRICA
EPI_ISL_13696629	OMICRON_2022_AFRICA
EPI_ISL_13696633	OMICRON_2022_AFRICA
EPI_ISL_13696634	OMICRON_2022_AFRICA
EPI_ISL_13696635	OMICRON_2022_AFRICA
EPI_ISL_13696637	OMICRON_2022_AFRICA
EPI_ISL_13696639	OMICRON_2022_AFRICA
EPI_ISL_13696642	OMICRON_2022_AFRICA
EPI_ISL_13696643	OMICRON_2022_AFRICA
EPI_ISL_13696645	OMICRON_2022_AFRICA
EPI_ISL_13696648	OMICRON_2022_AFRICA
EPI_ISL_13696650	OMICRON_2022_AFRICA
EPI_ISL_13696651	OMICRON_2022_AFRICA
EPI_ISL_13696652	OMICRON_2022_AFRICA
EPI_ISL_13696655	OMICRON_2022_AFRICA
EPI_ISL_13696658	OMICRON_2022_AFRICA
EPI_ISL_13696661	OMICRON_2022_AFRICA
EPI_ISL_13696663	OMICRON_2022_AFRICA
EPI_ISL_13696665	OMICRON_2022_AFRICA
EPI_ISL_13696667	OMICRON_2022_AFRICA
EPI_ISL_13696674	OMICRON_2022_AFRICA
EPI_ISL_13696676	OMICRON_2022_AFRICA
EPI_ISL_13696678	OMICRON_2022_AFRICA
EPI_ISL_13696679	OMICRON_2022_AFRICA
EPI_ISL_13696680	OMICRON_2022_AFRICA
EPI_ISL_13696683	OMICRON_2022_AFRICA
EPI_ISL_13696684	OMICRON_2022_AFRICA
EPI_ISL_13696686	OMICRON_2022_AFRICA
EPI_ISL_13696687	OMICRON_2022_AFRICA
EPI_ISL_13696688	OMICRON_2022_AFRICA
EPI_ISL_13696689	OMICRON_2022_AFRICA
EPI_ISL_13696690	OMICRON_2022_AFRICA
EPI_ISL_13696693	OMICRON_2022_AFRICA
EPI_ISL_13696695	OMICRON_2022_AFRICA
EPI_ISL_13696697	OMICRON_2022_AFRICA
EPI_ISL_13696698	OMICRON_2022_AFRICA
EPI_ISL_13696703	OMICRON_2022_AFRICA
EPI_ISL_13696705	OMICRON_2022_AFRICA
EPI_ISL_13696709	OMICRON_2022_AFRICA
EPI_ISL_13696716	OMICRON_2022_AFRICA
EPI_ISL_13696718	OMICRON_2022_AFRICA
EPI_ISL_13696719	OMICRON_2022_AFRICA
EPI_ISL_13696720	OMICRON_2022_AFRICA
EPI_ISL_13696724	OMICRON_2022_AFRICA
EPI_ISL_13696725	OMICRON_2022_AFRICA
EPI_ISL_13696726	OMICRON_2022_AFRICA
EPI_ISL_13696728	OMICRON_2022_AFRICA
EPI_ISL_13696729	OMICRON_2022_AFRICA
EPI_ISL_13696732	OMICRON_2022_AFRICA
EPI_ISL_13696734	OMICRON_2022_AFRICA
EPI_ISL_13696735	OMICRON_2022_AFRICA
EPI_ISL_13696736	OMICRON_2022_AFRICA
EPI_ISL_13696737	OMICRON_2022_AFRICA
EPI_ISL_13696738	OMICRON_2022_AFRICA
EPI_ISL_13696739	OMICRON_2022_AFRICA
EPI_ISL_13696740	OMICRON_2022_AFRICA
EPI_ISL_13696742	OMICRON_2022_AFRICA
EPI_ISL_13696743	OMICRON_2022_AFRICA
EPI_ISL_13696744	OMICRON_2022_AFRICA
EPI_ISL_13696748	OMICRON_2022_AFRICA
EPI_ISL_13696752	OMICRON_2022_AFRICA
EPI_ISL_13696753	OMICRON_2022_AFRICA
EPI_ISL_13696754	OMICRON_2022_AFRICA
EPI_ISL_13696755	OMICRON_2022_AFRICA
EPI_ISL_13696756	OMICRON_2022_AFRICA
EPI_ISL_13696758	OMICRON_2022_AFRICA
EPI_ISL_13696759	OMICRON_2022_AFRICA
EPI_ISL_13696760	OMICRON_2022_AFRICA
EPI_ISL_13696762	OMICRON_2022_AFRICA
EPI_ISL_13716873	OMICRON_2022_AFRICA
EPI_ISL_13760986	OMICRON_2022_AFRICA
EPI_ISL_13766528	OMICRON_2022_AFRICA
EPI_ISL_13766530	OMICRON_2022_AFRICA
EPI_ISL_13766547	OMICRON_2022_AFRICA
EPI_ISL_13766558	OMICRON_2022_AFRICA
EPI_ISL_13766560	OMICRON_2022_AFRICA
EPI_ISL_13766897	OMICRON_2022_AFRICA
EPI_ISL_13766898	OMICRON_2022_AFRICA
EPI_ISL_13766899	OMICRON_2022_AFRICA
EPI_ISL_13766903	OMICRON_2022_AFRICA
EPI_ISL_13766905	OMICRON_2022_AFRICA
EPI_ISL_13766907	OMICRON_2022_AFRICA
