Sample_ID	Population
EPI_ISL_18958094	NEW
EPI_ISL_18958095	NEW
EPI_ISL_18958096	NEW
EPI_ISL_18958097	NEW
EPI_ISL_18958098	NEW
EPI_ISL_18958099	NEW
EPI_ISL_18958100	NEW
EPI_ISL_18958101	NEW
EPI_ISL_18958102	NEW
EPI_ISL_18958103	NEW
EPI_ISL_18958104	NEW
EPI_ISL_18958106	NEW
EPI_ISL_18958107	NEW
EPI_ISL_18958112	NEW
EPI_ISL_18958113	NEW
EPI_ISL_18958114	NEW
EPI_ISL_18958115	NEW
EPI_ISL_18958116	NEW
EPI_ISL_18958117	NEW
EPI_ISL_18958118	NEW
EPI_ISL_18959841	NEW
EPI_ISL_18965134	NEW
