Sample_ID	Population
EPI_ISL_522861	NZ
EPI_ISL_522862	NZ
EPI_ISL_522863	NZ
EPI_ISL_522864	NZ
EPI_ISL_522865	NZ
EPI_ISL_522866	NZ
EPI_ISL_522867	NZ
EPI_ISL_522868	NZ
EPI_ISL_525495	NZ
EPI_ISL_525496	NZ
EPI_ISL_525553	NZ
EPI_ISL_525555	NZ
EPI_ISL_525556	NZ
EPI_ISL_525557	NZ
EPI_ISL_525558	NZ
EPI_ISL_525559	NZ
EPI_ISL_525560	NZ
EPI_ISL_525561	NZ
EPI_ISL_525562	NZ
EPI_ISL_525563	NZ
EPI_ISL_525564	NZ
EPI_ISL_525565	NZ
EPI_ISL_525566	NZ
EPI_ISL_525567	NZ
EPI_ISL_525568	NZ
EPI_ISL_525569	NZ
EPI_ISL_525570	NZ
EPI_ISL_525571	NZ
EPI_ISL_525572	NZ
EPI_ISL_525573	NZ
EPI_ISL_525574	NZ
EPI_ISL_527380	NZ
EPI_ISL_528919	NZ
EPI_ISL_528920	NZ
EPI_ISL_528921	NZ
EPI_ISL_528922	NZ
EPI_ISL_528924	NZ
EPI_ISL_528925	NZ
EPI_ISL_528926	NZ
EPI_ISL_528927	NZ
EPI_ISL_528928	NZ
EPI_ISL_528929	NZ
EPI_ISL_528934	NZ
EPI_ISL_528935	NZ
EPI_ISL_528936	NZ
EPI_ISL_528937	NZ
EPI_ISL_528938	NZ
EPI_ISL_528939	NZ
EPI_ISL_528940	NZ
EPI_ISL_528941	NZ
EPI_ISL_528943	NZ
EPI_ISL_528944	NZ
EPI_ISL_528945	NZ
EPI_ISL_528946	NZ
EPI_ISL_528947	NZ
EPI_ISL_528948	NZ
EPI_ISL_528949	NZ
EPI_ISL_528990	NZ
EPI_ISL_528991	NZ
EPI_ISL_528993	NZ
EPI_ISL_528994	NZ
EPI_ISL_528995	NZ
EPI_ISL_528996	NZ
EPI_ISL_528997	NZ
EPI_ISL_528998	NZ
EPI_ISL_528999	NZ
EPI_ISL_529000	NZ
EPI_ISL_529001	NZ
EPI_ISL_529003	NZ
EPI_ISL_529004	NZ
EPI_ISL_529005	NZ
EPI_ISL_529006	NZ
EPI_ISL_529007	NZ
EPI_ISL_529009	NZ
EPI_ISL_529016	NZ
EPI_ISL_529018	NZ
EPI_ISL_529019	NZ
EPI_ISL_529020	NZ
EPI_ISL_529021	NZ
