Sample_ID	Population
EPI_ISL_1048504	SOUTH_AFRICA
EPI_ISL_1048507	SOUTH_AFRICA
EPI_ISL_1048512	SOUTH_AFRICA
EPI_ISL_1048514	SOUTH_AFRICA
EPI_ISL_1048515	SOUTH_AFRICA
EPI_ISL_1048516	SOUTH_AFRICA
EPI_ISL_1048517	SOUTH_AFRICA
EPI_ISL_1048519	SOUTH_AFRICA
EPI_ISL_1048523	SOUTH_AFRICA
EPI_ISL_1048524	SOUTH_AFRICA
EPI_ISL_1048526	SOUTH_AFRICA
EPI_ISL_1048527	SOUTH_AFRICA
EPI_ISL_1048528	SOUTH_AFRICA
EPI_ISL_1048529	SOUTH_AFRICA
EPI_ISL_1048532	SOUTH_AFRICA
EPI_ISL_1048533	SOUTH_AFRICA
EPI_ISL_1048534	SOUTH_AFRICA
EPI_ISL_1048535	SOUTH_AFRICA
EPI_ISL_1048541	SOUTH_AFRICA
EPI_ISL_1048547	SOUTH_AFRICA
EPI_ISL_1048550	SOUTH_AFRICA
EPI_ISL_1048552	SOUTH_AFRICA
EPI_ISL_1048553	SOUTH_AFRICA
EPI_ISL_1048554	SOUTH_AFRICA
EPI_ISL_1048557	SOUTH_AFRICA
EPI_ISL_1048558	SOUTH_AFRICA
EPI_ISL_1048559	SOUTH_AFRICA
EPI_ISL_1048560	SOUTH_AFRICA
EPI_ISL_1048562	SOUTH_AFRICA
EPI_ISL_1048568	SOUTH_AFRICA
EPI_ISL_1085952	SOUTH_AFRICA
EPI_ISL_1085953	SOUTH_AFRICA
EPI_ISL_1085954	SOUTH_AFRICA
EPI_ISL_1085955	SOUTH_AFRICA
EPI_ISL_1085956	SOUTH_AFRICA
EPI_ISL_1085957	SOUTH_AFRICA
EPI_ISL_1085958	SOUTH_AFRICA
EPI_ISL_1085959	SOUTH_AFRICA
EPI_ISL_1085960	SOUTH_AFRICA
EPI_ISL_1085961	SOUTH_AFRICA
EPI_ISL_1085963	SOUTH_AFRICA
EPI_ISL_1085965	SOUTH_AFRICA
EPI_ISL_1085966	SOUTH_AFRICA
EPI_ISL_1085968	SOUTH_AFRICA
EPI_ISL_1085969	SOUTH_AFRICA
EPI_ISL_1085970	SOUTH_AFRICA
EPI_ISL_1085971	SOUTH_AFRICA
EPI_ISL_1085972	SOUTH_AFRICA
EPI_ISL_1085978	SOUTH_AFRICA
EPI_ISL_1085979	SOUTH_AFRICA
EPI_ISL_1085980	SOUTH_AFRICA
EPI_ISL_1085981	SOUTH_AFRICA
EPI_ISL_1085982	SOUTH_AFRICA
EPI_ISL_1085985	SOUTH_AFRICA
EPI_ISL_1085986	SOUTH_AFRICA
EPI_ISL_1085987	SOUTH_AFRICA
EPI_ISL_1085988	SOUTH_AFRICA
EPI_ISL_1085989	SOUTH_AFRICA
EPI_ISL_1085993	SOUTH_AFRICA
EPI_ISL_1085994	SOUTH_AFRICA
EPI_ISL_1085997	SOUTH_AFRICA
EPI_ISL_1085998	SOUTH_AFRICA
EPI_ISL_1086000	SOUTH_AFRICA
EPI_ISL_1086001	SOUTH_AFRICA
EPI_ISL_1086002	SOUTH_AFRICA
EPI_ISL_1086004	SOUTH_AFRICA
EPI_ISL_1086005	SOUTH_AFRICA
EPI_ISL_1086006	SOUTH_AFRICA
EPI_ISL_1086007	SOUTH_AFRICA
EPI_ISL_1086008	SOUTH_AFRICA
EPI_ISL_1086012	SOUTH_AFRICA
EPI_ISL_1086013	SOUTH_AFRICA
EPI_ISL_1086015	SOUTH_AFRICA
EPI_ISL_1086017	SOUTH_AFRICA
EPI_ISL_1086018	SOUTH_AFRICA
EPI_ISL_1086019	SOUTH_AFRICA
EPI_ISL_1086020	SOUTH_AFRICA
EPI_ISL_1086021	SOUTH_AFRICA
EPI_ISL_1086022	SOUTH_AFRICA
EPI_ISL_1086023	SOUTH_AFRICA
EPI_ISL_1086025	SOUTH_AFRICA
EPI_ISL_1086027	SOUTH_AFRICA
EPI_ISL_1086028	SOUTH_AFRICA
EPI_ISL_1086029	SOUTH_AFRICA
EPI_ISL_1086030	SOUTH_AFRICA
EPI_ISL_1086032	SOUTH_AFRICA
EPI_ISL_1250358	SOUTH_AFRICA
EPI_ISL_1250361	SOUTH_AFRICA
EPI_ISL_1250362	SOUTH_AFRICA
EPI_ISL_1250369	SOUTH_AFRICA
EPI_ISL_1250371	SOUTH_AFRICA
EPI_ISL_1250373	SOUTH_AFRICA
EPI_ISL_1250378	SOUTH_AFRICA
EPI_ISL_1250381	SOUTH_AFRICA
EPI_ISL_1250383	SOUTH_AFRICA
EPI_ISL_1250385	SOUTH_AFRICA
EPI_ISL_1250386	SOUTH_AFRICA
EPI_ISL_1250388	SOUTH_AFRICA
EPI_ISL_1250390	SOUTH_AFRICA
EPI_ISL_1250393	SOUTH_AFRICA
EPI_ISL_1250396	SOUTH_AFRICA
EPI_ISL_1250399	SOUTH_AFRICA
EPI_ISL_1250404	SOUTH_AFRICA
EPI_ISL_1250405	SOUTH_AFRICA
EPI_ISL_1250407	SOUTH_AFRICA
EPI_ISL_1250413	SOUTH_AFRICA
EPI_ISL_1250414	SOUTH_AFRICA
EPI_ISL_1250419	SOUTH_AFRICA
EPI_ISL_1250552	SOUTH_AFRICA
EPI_ISL_1324128	SOUTH_AFRICA
EPI_ISL_1366754	SOUTH_AFRICA
EPI_ISL_1366759	SOUTH_AFRICA
EPI_ISL_1366761	SOUTH_AFRICA
EPI_ISL_1366766	SOUTH_AFRICA
EPI_ISL_1366770	SOUTH_AFRICA
EPI_ISL_1366778	SOUTH_AFRICA
EPI_ISL_1366779	SOUTH_AFRICA
EPI_ISL_1366782	SOUTH_AFRICA
EPI_ISL_1366783	SOUTH_AFRICA
EPI_ISL_1366785	SOUTH_AFRICA
EPI_ISL_1366787	SOUTH_AFRICA
EPI_ISL_1366789	SOUTH_AFRICA
EPI_ISL_1366792	SOUTH_AFRICA
EPI_ISL_1366793	SOUTH_AFRICA
EPI_ISL_1366795	SOUTH_AFRICA
EPI_ISL_1366796	SOUTH_AFRICA
EPI_ISL_1366799	SOUTH_AFRICA
EPI_ISL_1366800	SOUTH_AFRICA
EPI_ISL_1366805	SOUTH_AFRICA
EPI_ISL_1366812	SOUTH_AFRICA
EPI_ISL_1366815	SOUTH_AFRICA
EPI_ISL_1366830	SOUTH_AFRICA
EPI_ISL_1366831	SOUTH_AFRICA
EPI_ISL_1366832	SOUTH_AFRICA
EPI_ISL_1366840	SOUTH_AFRICA
EPI_ISL_1366846	SOUTH_AFRICA
EPI_ISL_1366855	SOUTH_AFRICA
EPI_ISL_1366857	SOUTH_AFRICA
EPI_ISL_1366877	SOUTH_AFRICA
EPI_ISL_1371995	SOUTH_AFRICA
EPI_ISL_1371996	SOUTH_AFRICA
EPI_ISL_1371997	SOUTH_AFRICA
EPI_ISL_1371998	SOUTH_AFRICA
EPI_ISL_1371999	SOUTH_AFRICA
EPI_ISL_1372000	SOUTH_AFRICA
EPI_ISL_1372001	SOUTH_AFRICA
EPI_ISL_1372002	SOUTH_AFRICA
EPI_ISL_1372003	SOUTH_AFRICA
EPI_ISL_1372004	SOUTH_AFRICA
EPI_ISL_1372005	SOUTH_AFRICA
EPI_ISL_1372006	SOUTH_AFRICA
EPI_ISL_1502146	SOUTH_AFRICA
EPI_ISL_1502149	SOUTH_AFRICA
EPI_ISL_1502150	SOUTH_AFRICA
EPI_ISL_1502151	SOUTH_AFRICA
EPI_ISL_1502153	SOUTH_AFRICA
EPI_ISL_1502154	SOUTH_AFRICA
EPI_ISL_1502155	SOUTH_AFRICA
EPI_ISL_1502156	SOUTH_AFRICA
EPI_ISL_1502157	SOUTH_AFRICA
EPI_ISL_1502158	SOUTH_AFRICA
EPI_ISL_1502159	SOUTH_AFRICA
EPI_ISL_1502160	SOUTH_AFRICA
EPI_ISL_1502165	SOUTH_AFRICA
EPI_ISL_1502168	SOUTH_AFRICA
EPI_ISL_1502170	SOUTH_AFRICA
EPI_ISL_1502171	SOUTH_AFRICA
EPI_ISL_1502174	SOUTH_AFRICA
EPI_ISL_1502175	SOUTH_AFRICA
EPI_ISL_1502178	SOUTH_AFRICA
EPI_ISL_1502181	SOUTH_AFRICA
EPI_ISL_1502187	SOUTH_AFRICA
EPI_ISL_1502188	SOUTH_AFRICA
EPI_ISL_1502190	SOUTH_AFRICA
EPI_ISL_1502191	SOUTH_AFRICA
EPI_ISL_1502192	SOUTH_AFRICA
EPI_ISL_1502193	SOUTH_AFRICA
EPI_ISL_1502195	SOUTH_AFRICA
