Sample_ID	Population
EPI_ISL_19720547	2025
EPI_ISL_19720548	2025
EPI_ISL_19720549	2025
EPI_ISL_19720550	2025
EPI_ISL_19720551	2025
EPI_ISL_19720552	2025
EPI_ISL_19720553	2025
EPI_ISL_19720554	2025
EPI_ISL_19720555	2025
EPI_ISL_19720556	2025
EPI_ISL_19720557	2025
EPI_ISL_19720558	2025
EPI_ISL_19720559	2025
EPI_ISL_19720560	2025
EPI_ISL_19720561	2025
EPI_ISL_19720562	2025
EPI_ISL_19720563	2025
EPI_ISL_19720565	2025
EPI_ISL_19720566	2025
EPI_ISL_19720567	2025
EPI_ISL_19720568	2025
EPI_ISL_19720570	2025
EPI_ISL_19720571	2025
EPI_ISL_19720572	2025
EPI_ISL_19720573	2025
EPI_ISL_19720574	2025
EPI_ISL_19720575	2025
EPI_ISL_19720576	2025
EPI_ISL_19720577	2025
EPI_ISL_19720578	2025
EPI_ISL_19720579	2025
EPI_ISL_19720580	2025
EPI_ISL_19720582	2025
EPI_ISL_19720583	2025
EPI_ISL_19720584	2025
EPI_ISL_19720585	2025
EPI_ISL_19720586	2025
EPI_ISL_19720587	2025
EPI_ISL_19720588	2025
EPI_ISL_19720589	2025
EPI_ISL_19720590	2025
EPI_ISL_19720591	2025
EPI_ISL_19720593	2025
EPI_ISL_19720594	2025
EPI_ISL_19720595	2025
EPI_ISL_19720596	2025
EPI_ISL_19720600	2025
EPI_ISL_19720601	2025
EPI_ISL_19720602	2025
EPI_ISL_19720605	2025
EPI_ISL_19720607	2025
EPI_ISL_19720608	2025
EPI_ISL_19720609	2025
EPI_ISL_19720610	2025
EPI_ISL_19720611	2025
EPI_ISL_19720612	2025
EPI_ISL_19720613	2025
EPI_ISL_19720614	2025
EPI_ISL_19720615	2025
EPI_ISL_19720616	2025
EPI_ISL_19720617	2025
EPI_ISL_19720618	2025
EPI_ISL_19720619	2025
EPI_ISL_19720620	2025
EPI_ISL_19720622	2025
EPI_ISL_19720623	2025
EPI_ISL_19720625	2025
EPI_ISL_19720626	2025
EPI_ISL_19720627	2025
EPI_ISL_19720628	2025
EPI_ISL_19720629	2025
EPI_ISL_19720630	2025
EPI_ISL_19720631	2025
EPI_ISL_19720633	2025
EPI_ISL_19720634	2025
EPI_ISL_19720636	2025
EPI_ISL_19720637	2025
EPI_ISL_19720638	2025
