Sample_ID	Population
EPI_ISL_417016	START
EPI_ISL_417018	START
EPI_ISL_417019	START
EPI_ISL_417030	START
EPI_ISL_417034	START
EPI_ISL_417176	START
EPI_ISL_417181	START
EPI_ISL_417185	START
EPI_ISL_417186	START
EPI_ISL_417187	START
EPI_ISL_417188	START
EPI_ISL_417193	START
EPI_ISL_417333	START
EPI_ISL_417334	START
EPI_ISL_417335	START
EPI_ISL_417336	START
EPI_ISL_417337	START
EPI_ISL_417339	START
EPI_ISL_417443	START
EPI_ISL_417491	START
EPI_ISL_417877	START
EPI_ISL_417878	START
EPI_ISL_417879	START
EPI_ISL_417880	START
EPI_ISL_417924	START
EPI_ISL_418183	START
EPI_ISL_418206	START
EPI_ISL_418207	START
EPI_ISL_418208	START
EPI_ISL_418209	START
EPI_ISL_418210	START
EPI_ISL_418211	START
EPI_ISL_418212	START
EPI_ISL_418213	START
EPI_ISL_418215	START
EPI_ISL_418216	START
EPI_ISL_418217	START
EPI_ISL_418218	START
EPI_ISL_418219	START
EPI_ISL_418220	START
EPI_ISL_418221	START
EPI_ISL_418222	START
EPI_ISL_418223	START
EPI_ISL_418224	START
EPI_ISL_418225	START
EPI_ISL_418226	START
EPI_ISL_418227	START
EPI_ISL_418228	START
EPI_ISL_418229	START
EPI_ISL_418230	START
EPI_ISL_418231	START
EPI_ISL_418232	START
EPI_ISL_418233	START
EPI_ISL_418234	START
EPI_ISL_418236	START
EPI_ISL_418237	START
EPI_ISL_418238	START
EPI_ISL_418239	START
EPI_ISL_418240	START
EPI_ISL_418241	START
EPI_ISL_418242	START
EPI_ISL_418243	START
EPI_ISL_418244	START
EPI_ISL_418245	START
EPI_ISL_418246	START
EPI_ISL_418247	START
EPI_ISL_418248	START
EPI_ISL_418249	START
EPI_ISL_418251	START
EPI_ISL_418252	START
EPI_ISL_418253	START
EPI_ISL_418256	START
EPI_ISL_418257	START
EPI_ISL_418262	START
EPI_ISL_418624	START
EPI_ISL_418633	START
EPI_ISL_418645	START
EPI_ISL_418646	START
EPI_ISL_418648	START
EPI_ISL_418649	START
EPI_ISL_418650	START
EPI_ISL_418651	START
EPI_ISL_418652	START
EPI_ISL_418659	START
EPI_ISL_418660	START
EPI_ISL_418664	START
EPI_ISL_418800	START
EPI_ISL_418815	START
EPI_ISL_418990	START
EPI_ISL_418991	START
EPI_ISL_419214	START
EPI_ISL_419215	START
EPI_ISL_419216	START
EPI_ISL_419217	START
EPI_ISL_419219	START
EPI_ISL_419221	START
EPI_ISL_419222	START
EPI_ISL_419224	START
EPI_ISL_419225	START
EPI_ISL_419226	START
EPI_ISL_419227	START
EPI_ISL_419228	START
EPI_ISL_419229	START
EPI_ISL_419230	START
EPI_ISL_419231	START
EPI_ISL_419232	START
EPI_ISL_419233	START
EPI_ISL_419234	START
EPI_ISL_419235	START
EPI_ISL_419236	START
EPI_ISL_419237	START
EPI_ISL_419238	START
EPI_ISL_419240	START
EPI_ISL_419245	START
EPI_ISL_419247	START
EPI_ISL_419250	START
EPI_ISL_419252	START
EPI_ISL_419296	START
EPI_ISL_419297	START
EPI_ISL_419298	START
EPI_ISL_419299	START
EPI_ISL_419300	START
EPI_ISL_419301	START
EPI_ISL_419302	START
EPI_ISL_419303	START
EPI_ISL_419304	START
EPI_ISL_419305	START
EPI_ISL_419306	START
EPI_ISL_419307	START
EPI_ISL_419308	START
EPI_ISL_419309	START
EPI_ISL_419310	START
EPI_ISL_419311	START
EPI_ISL_419662	START
EPI_ISL_419664	START
EPI_ISL_419709	START
EPI_ISL_420037	START
EPI_ISL_420039	START
EPI_ISL_420040	START
EPI_ISL_420041	START
EPI_ISL_420042	START
EPI_ISL_420044	START
EPI_ISL_420046	START
EPI_ISL_420047	START
EPI_ISL_420048	START
EPI_ISL_420049	START
EPI_ISL_420050	START
EPI_ISL_420051	START
EPI_ISL_420052	START
EPI_ISL_420053	START
EPI_ISL_420056	START
EPI_ISL_420057	START
EPI_ISL_420058	START
EPI_ISL_420059	START
EPI_ISL_420060	START
EPI_ISL_420063	START
EPI_ISL_420064	START
EPI_ISL_420069	START
EPI_ISL_420070	START
EPI_ISL_420072	START
EPI_ISL_420073	START
EPI_ISL_420074	START
EPI_ISL_420076	START
EPI_ISL_420077	START
EPI_ISL_420078	START
EPI_ISL_420080	START
EPI_ISL_420081	START
EPI_ISL_420293	START
EPI_ISL_421182	START
EPI_ISL_421183	START
EPI_ISL_421184	START
EPI_ISL_421185	START
EPI_ISL_421186	START
EPI_ISL_421187	START
EPI_ISL_421188	START
EPI_ISL_421189	START
EPI_ISL_421190	START
EPI_ISL_421191	START
EPI_ISL_421192	START
EPI_ISL_421193	START
EPI_ISL_421194	START
EPI_ISL_421195	START
EPI_ISL_421196	START
EPI_ISL_421221	START
EPI_ISL_421222	START
EPI_ISL_421224	START
EPI_ISL_421225	START
